
ԱԳՐԵՍԻԱ	 մեկ կամ մի քանի երկրների զինված հարձակում այլ երկրի կամ երկրների վրա նվաճողական նպատակներով: 
ՊԱՇԱՐՈՒՄ	 ամրոցը (ամրացված քաղաք) կամ ամրոցատիպ այլ կետ գրավելու համար վարվող մարտական գործողության ձև: Ամրոցը շրջապատվում էր զորքերով, նրա շուրջ պաշարողական ամրակառույցներ էին կառուցվում, պաշարող զորքերի համար պատրաստվում էր ամրացված ճամբար: Պ. սովորաբար ավարտվում էր ամրոցի գրոհով: 
ՊԱՇԱՐՈՂԱԿԱՆ ՏԵԽՆԻԿԱ	 գրոհողներին պատսպարելու, ինչպես նաև պարիսպը գրոհելու և կործանելու նպատակով ամրոցները պաշարելու ժամանակ օգտագործվող տեխնիկական միջոցներ: Պ.Տ-ի մեջ մտնում էին տեղափոխվող և տեղաշարժվող վահաններ, մի քանի հարկանի հետգցովի կամրջակներով պաշարողական աշտարակներ, գրոհային աստիճաններ, նետող զենքեր, բաբաններ, խոյեր ևն: 
ՊԱՇՏՊԱՆՈՒԹՅԱՆ ԱԿՏԻՎՈՒԹՅՈՒՆ	 պաշտպանվող զորքերի անընդհատ ներազդեցությունը հարձակվող հակառակորդի վրա: Պաշտպանությունը կազմակերպելու և վարելու հիմնական պահանջներից է: ՊԱ-ն մարտի (ճակատամարտի) ընթացքում հակառակորդի հարձակմանը պատրաստվելու և գրոհի, ինչպես նաև առավել վտանգավոր տեղամասերում պահեստազորով զորաշարժի ժամանակ նրան հարվածներ հասցնելն է:
ՊԱՇՏՊԱՆՈՒԹՅԱՆ ԱՌԱՋՆԱՅԻՆ ԵԶՐ	 հակառակորդին մոտիկ առաջին էշելոնի ուժերի դիրքերը միավորող պայմանական գիծը:
ՊԱՇՏՊԱՆՈՒԹՅԱՆ ՃԵՂՔՈՒՄ	 հարձակողական գործողություններ վարելու ձև: Իրականացվում է հակառակորդի կողմից զբաղեցված ամրացված բնագծերը (գոտիները, դիրքերը) երկփեղկելու համար, հետագայում պաշտպանության խորքում հարձակումը զարգացնելու և թևերի ուղղությամբ զորաշարժ կատարելու նպատակով: 
ՊԱՇՏՊԱՆՈՒԹՅԱՆ ՇՐՋԱՆ	 պաշտպանությունում հրամանատարի որոշմանը համապատասխան որոշակի չափերով, ինժեներական տեսանկյունից նախապատրաստված, շրջանային պաշտպանությանը հարմարեցված ու գումարտակի զբաղեցրած տեղանքի շրջան: Գումարտակային ՊՇ լայնությունն ու խորությունը, խրամուղիների, ստորաբաժանումների և կրակամիջոցների միջև ընկած հեռավորությունները հաստատուն մեծություններ չեն:
ՊԱՇՏՊԱՆՈՒԹՅՈՒՆ ԶԱՆԳՎԱԾԱՅԻՆ ԽՈՑՄԱՆ ԶԵՆՔԻՑ	 կազմակերպվում և իրականացվում է հակառակորդի միջուկային, քիմիական և կենսաբանական (մանրէաբանական) զենքի ազդեցությունը, ատոմային և քիմիական արդյունաբերության ձեռնարկությունների ավերումների արդյունքներն առավելագույնս նվազեցնելու, ինչպես նաև ստորաբաժանումների մարտունակությունը պահպանելու և դրանց մարտական խնդիրների հաջող կատարումն ապահովելու նպատակով:
ՊԱՇՏՊԱՆԱԿԱՆ ԿԱՌՈՒՅՑ	 զորքերը, մարտական տեխնիկան և նյութական միջոցները հակառակորդի խոցման միջոցներից պաշտպանելու համար նախատեսված ամրաշինական կառույցներ:
ՊԱՇՏՊԱՆՈՒԹՅՈՒՆ	 մարտի հիմնական տեսակներից է: Նպատակ ունի կասեցնել հակառակորդի գերազանցող ուժերի հարձակումը, առավելագույն կորուստներ պատճառելով նրան` պահել տեղանքի կարևոր շրջաններն ու դրանով իսկ ստեղծել պայմաններ վճռական հարձակման անցնելու համար: Կարող է կազմակերպվել՝ կանխամտածված կամ ստիպողաբար, հակառակորդի հետ անմիջական շփման բացակայության կամ նրա հետ անմիջական շփման պայմաններում: Պ. կարող է լինել դիրքային և զորաշարժային:
ԱԿՏԻՎ Պ.	 պատերազմող կողմերից մեկի կողմից պաշտպանական գործողությունների վարում ոչ միայն տարածքը պահելու, այլև հիմնականում հակառակորդի խոշոր ուժերը հյուծելու և արյունաքամ անելու նպատակով:
ԴԻՐՔԱՅԻՆ Պ.	 հիմնական տեսակն է: Հիմնվում է զբաղեցրած շրջանների սահմաններում ստորաբաժանումների ստեղծած մի շարք պաշտպանական դիրքերը պահելու, ստորաբաժանումների խոցող հնարավորություններն առավելագույնս օգտագործելու և տեղանքի ավելի ամբողջական ինժեներական սարքավորման վրա:
ԶՈՐԱՇԱՐԺԱՅԻՆ Պ.	 վարվում է հակառակորդին կորուստներ հասցնելու, ժամանակ շահելու և սեփական ուժերը պահպանելու նպատակներով, նախօրոք նշված ու դեպի խորքը էշելոնացված բնագծերում հետևողական պաշտպանական մարտերի միջոցով՝ զուգակցված կարճատև հակահարձակումների հետ:
ՊԱՏԱՆԴ	 հակառակորդի կողմից բռնությամբ կալանված և պահվող քաղաքացի, որի ազատագրումն ուղղակի կամ անուղղակի կերպով կախված է պատերազմող կողմին պարտադրվող պայմանների ընդունումից:
ՊԱՏԵՐԱԶՄ	 զինված ընդհարում երկու կամ ավելի պետությունների միջև: 
ԶՈՐԱՇԱՐԺԱՅԻՆ Պ.	 լայնամասշտաբ զորաշարժային գործողություններով առանց կայուն ռազմաճակատի և արագ փոփոխվող իրադրությամբբնութագրվող պատերազմ: Կարող է կիրառվել ամբողջ պատերազմի կամ էլ նրա որոշ էտապներում:
ՏԵՂԱՅՆԱԿԱՆ Պ.	 սահմանափակ քաղաքական նպատակներով, ռազմական գործողությունների ծավալման տարածքով, կիրառվող զինված ուժերի և միջոցների քանակով և որակով բնութագրվող պատերազմ: 
ՊԱՏԵՐԱԶՄԱՇՐՋԱՆ	 ընդհանուր մտահղացմամբ միավորված և պատերազմի կարևոր քաղաքական ու ռազմավարական նպատակներին նպատակաուղղված ռազմական գործողությունների թատերաբեմում տարակազմ զորախմբերի օպերացիաների, մարտերի, հարվածների և մարտական գործողությունների ամբողջություն: Որպես կանոն, ընդգրկում էր համեմատաբար ակտիվ մարտական գործողությունների (վաղ գարնանից մինչև ուշ աշուն) մեկ կամ մի քանի շրջափուլ:
ՊԱՏԵՐԱԶՄԻ ՀԱՅՏԱՐԱՐՈՒՄ	 որևէ կողմի հայտարարությունը պետության կամ պետությունների դաշինքի հետ խաղաղ հարաբերությունները դադարեցնելու և պատերազմական վիճակի անցնելու մասին:
ՊԱՏԵՐԱԶՄԻ ՕՐԵՆՔՆԵՐ ԵՎ ՍՈՎՈՐՈՒԹՅՈՒՆՆԵՐ	 պատերազմող կողմերի և չեզոք պետությունների իրավունքները և պարտականությունները կանոնակարգող միջազգային իրավական նորմերի և բարոյական սկզբունքների ամբողջություն: 
ՊԱՏԵՐԱԶՄՈՂ ԿՈՂՄ	 միջազգային իրավունքում՝ պատերազմի կամ զինված ընդհարման մասնակից, որը հետևում է պատերազմի սահմանված օրենքներին և ավանդույթներին:
ՊԱՏԻՎ	 արտաքին մի նշան, իբրև մի հայտնի զարդարանք կամ զգեստի մասը և այլն, որը թագավորը պարգևում էր նախարարներին, գահի հետ միասին, և որ այդ նախարարի սերունդները ժառանգաբար կրում էին: Պ-ի և նրա տեսակների մասին մեզ հասած տեղեկությունները քիչ են, այնպես որ դժվար է որոշել Պ-ներ բաշխելու օրենքները և նրանց տեսակները: Խորենացին հիշում է Բագարատին շնորհված Պ-ը` երեք շարք մարգարիտներից վարսակալ` առանց ոսկու և արծաթի: Ուրիշ տեղ Խորենացին հիշում է Արտաշեսի շնորհած Պ-ը Մուրացան նախարարին` պսակ հակնթապատ, երկու ականջներին գինդեր, մի ոտքին կարմիր կոշիկ, ոսկեղեն գդալ, պատառաքաղ և ոսկեղեն բաժակ: Նույն Պ-ը Արտաշեսը շնորհում է Սմբատին` բացի գինդերից և կարմիր կոշիկներից: Եղիշեն ավելի մանրամասն նկարագրում է Վասակի ունեցած Պ-ները, որ նա հագավ թագավորի մոտ ընթրիքի գնալու համար: 
ՊԱՏՄՈՒՃԱՆ 	 տղամարդու երկար ու լայն թիկնոցանման վերնազգեստ: 
ՊԱՐԵԿ	 զինծառայողների խումժ, նշանակված հակառակորդին հետևելու, որոշակի շրջան (գոտի, տեղամաս) պահպանելու և ծածկելու համար: 
ՊԱՐՍԱՏԻԿ	 հակառակորդի վրա քար նետելու ձեռքի զենք: Պատրաստվել է կաշվե փոկից (նաև բրդյա կամ բուսական թելերից), որի լայնացող միջնամասում դրել են քար կամ կապարագունդ: Պ. թափով պտտեցնելով գլխավերևում, ապա մի ծայրը բաց թողնելով, պարունակությունը նետել են դեպի նշանակետ: Պ. գործածել են որսորդության մեջ, ինչպես նաև մի շարք երկրների բանակներում: Պ-ով շուրջ 200 մ տարածությունից կարելի էր լրջորեն վնասել անգամ զրահավոր հակառակորդին: 
ՊԱՐՍՊԱՄԱՐՏ	 պարսպի համար մղվող մարտ, պարիսպներից ներս թափանցելու՝ պարիսպները գրավելու համար մղվող մարտ: 
ՋԱՆՔԵՐԻ ՏԵՂԱՓՈԽՈՒՄ	 օպերացիայի (մարտի) ժամանակ զորքերի գլխավոր խմբավորման գործողությունների ուղղության զգալի փոփոխություն: Իրականացվում է, որպես կանոն, վերախմբավորում կամ զորաշարժ կատարելով:
ՋԱՐԴ	 հակամարտող կողմերի մեծաքանակ զորքերի ճակատամարտ, որն աչքի է ընկնում զանգվածային կորուստներով և ավարտվում կողմերից մեկի լիակատար հաղթանակով:
ՋՈԿԱՏ	 զորքերից առանձնացված հատուկ զինված խումբ, զորախումբ, ինքնուրույն զինված խումբ:
ԱՌԱՋԱՊԱՀ Ջ.	 մարտի ժամանակ ինքնուրույն առաջադրանքներ կատարող ուժեղացված ստորաբաժանում: Մարտակարգի տարր է: Հարձակման ժամանակ ապահովում է գլխավոր ուժերի կազմակերպված մարտի մեջ մտնելը (մարտակարգի ծավալվելը): Պաշտպանությունում գործում է ապահովման գոտում: Առաջապահ ջոկատ կարող է առանձնացվել նաև ռազմերթի ժամանակ՝ մարտի մեջ մտնելու մտադրության դեպքում: 
ԳՐՈՀԱՅԻՆ Ջ.	 ամրացված շրջանների վրա հարձակվելիս, քաղաքում (բնակավայրում), լեռներում և այլ պայմաններում մարտ վարելիս լավ ամրացված առանձին հենակետերի և կարևոր օբյեկտների բռնագրավման և ոչնչացման համար կազմավորված ժամանակավոր խմբավորում:
ԹԵՎԱՆՑՈՂ (ՇՐՋԱՆՑՈՂ) Ջ.	 հակառակորդին թևից (թիկունքից) հարվածներ հասցնելու, նրա տեղաբաշխման խորքում կարևոր օբյեկտներ զավթելու և պահելու նպատակով ստեղծված հատուկ կազմավորում:
ՌԱԴԻՈԷԼԵԿՏՐՈՆԱՅԻՆ ՊԱՅՔԱՐ	 նպատակներով, խնդիրներով, տեղով ու ժամանակով փոխկապակցված միջոցառումների և հակառակորդի ռադիոէլեկտրոնային միջոցների հայտնաբերմանը, ռադիոէլեկտրոնային ճնշմանն ու հետագա ոչնչացմանն ուղղված ստորաբաժանումների գործողությունների համալիր:
ՌԱԶՄԱԲԵՐԴ	 ռազմական բերդ, պատերազմի համար ամրացված և զենքով ու զինամթերքով ապահովված բերդ: 
ՌԱԶՄԱԳԵՐԻ (ԳԵՐԻ)	 պատերազմի ժամանակ թշնամու ձեռքն ընկած զինված ուժերի մեջ մտնող անձինք (այդ թվում` պարտիզաններ, Դիմադրության շարժման մասնակիցներ և այլ մարտիկներ): ՌԳ շարքին են դասվում նաև որոշ ոչ մարտիկներ՝ զինվորական թղթակիցներ, առևտրական նավատորմի և քաղաքացիական ավիացիայի անձնակազմի անդամներ ևն:
ՌԱԶՄԱԿԱՆ ԱՆՎՏԱՆԳՈՒԹՅՈՒՆ	 կյանքի ներքին և միջազգային պայմանների իրավիճակ, որոնք չեզոքացնում կամ բացառում են անհատին, հասարակությանը, պետությանը ռազմական բռնության միջոցներով վնասումը:
ՌԱԶՄԱՐՎԵՍՏ	 ցամաքում, ծովում և օդում ռազմական գործողություններ նախապատրաստելու և իրականացնելու տեսություն և պրակտիկա: Ռ. տեսությունը ռազմագիտության կարևոր ճյուղն է: Ռ. բաղկացուցիչ մասերն են ռազմավարությունը, օպերատիվ արվեստը և մարտավարությունը:
ՌԱԶՄԱԿԱՆ ԲԱԶԱ (ՀԵՆԱԿԵՏ)	 զինված ուժերի միավորումների և զորամասերի (ուժերի և միջոցների) տեղաբաշխումը, մարտական և ամենօրյա գործունեությունն ապահովող, ռազմական տեսանկյունից հարմար տեղավորված և հատուկ կահավորված շրջան (տեղանքի հատված):
ՌԱԶՄԱԿԱՆ ԲԱՐԵՓՈԽՈՒՄ	 պետության ռազմական կազմակերպության նկատելի ձևափոխությունների ամբողջություն` ուղղված փոփոխված արտաքին պայմաններին նրա համապատասխանելիությանը: ՌԲ պայմանավորվում է օբյեկտիվ պայմաններով, որպես կանոն` պատերազմում կրած պարտությամբ կամ էլ հաղթանակով, պետության հասարակական-քաղաքական կառուցվածքի ձևափոխմամբ և միջազգային իրադրության փոփոխություններով, սպառազինության նոր տեսակների հայտնվելով, տնտեսական դրդապատճառներով, զինված պայքարի միջոցների և ձևերի, դրանց արտադրության մակարդակի փոփոխմամբ ևն:
ՌԱԶՄԱԿԱՆ ԳԱՂՏՆԻՔ	 հրապարակման համար չնախատեսված ռազմական բնույթի տեղեկություն: ՌԳ բացահայտումը, ձեռքբերումը և տարածումը համարվում են պետական հանցագործություն և քրեորեն պատժելի են:
ՌԱԶՄԱԿԱՆ ԳԻՏՈՒԹՅՈՒՆ	 գիտելիքների համակարգ պետությունների, պետությունների խմբավորումների պատերազմների բնույթի, օրենքների, վարման եղանակների մասին: ՌԳ տվյալներն օգտագործվում են ռազմական տեսություններ մշակելու ժամանակ: ՌԳ կառուցվածքն ու բովանդակությունը կապված են պետության ազգային գաղափարախոսության և ռազմական հայեցակարգի (դոկտրինի) հետ: Ռազմական պատմության և տեսության առաջին ուսումնասիրությունները երևան են եկել Ք.ա. V դ.: Ռազմական գիտելիքների զարգացման գործում կարևոր նշանակություն է ունեցել Հին Հռոմի մղած պատերազմների փորձի ընդհանրացումը: Միջին դարերում պատերազմներն իրենց նպատակներով և մասշտաբներով սահմանափակ էին, և ռազմատեսական միտքը մեծ զարգացում չի ստացել:
ՌԱԶՄԱԿԱՆ ԳՈՐԾՈՂՈՒԹՅՈՒՆՆԵՐ	 1. կողմերի հակամարտությունը պատերազմում, 2. քաղաքական և ռազմական նպատակներին հասնելու համար զինված ուժերի, ռազմավարական և օպերատիվ խմբավորումների կազմակերպված կիրառումը: ՌԳ վարվում են օպերացիաների, ճակատամարտերի, մարտական գործողությունների, այդ թվում` մարտերի և հարվածների ձևով, կարող են լինել պաշտպանողական և հարձակողական:
ՌԱԶՄԱԿԱ ԳՈՐԾՈՂՈՒԹՅՈՒՆՆԵՐԻ ԴԱԴԱՐԵՑՈՒՄ	 պատերազմող կողմերի միջև ամբողջ ճակատով կամ նրա որևէ մասում ռազմական գործողությունների (օպերացիաների) դադարեցում: Դադարեցվում են մարտական գործողությունները, բայց կողմերը մնում են պատերազմական դրության մեջ: ՌԳԴ հիմնական ձևերն են համընդհանուր կամ տեղային մարտական գործողությունների դադարեցումը (հրադադարը) և հաշտության կամ խաղաղության կնքումը (կապիտուլացումը):
ՌԱԶՄԱԿԱՆ ԻՐԱԴՐՈՒԹՅՈՒՆ	 գործոնների և պայմանների ամբողջություն, որոնցում իրականացվում են մարտի նախապատրաստումը և վարումը: 
ՌԱԶՄԱԿԱՆ ԻՐԱՎՈՒՆՔ	 պետության իրավական համակարգի մի մասը, որը կարգավորում է ռազմական համակարգի և զինված ուժերի գործունեության հասարակական հարաբերությունները: 
ՌԱԶՄԱԿԱՆ ՇՐՋԱՓԱԿՈՒՄ	 օբյեկտը` նրա արտաքին կապերը խզելու միջոցով մեկուսացնելուն ուղղված մարտական գործողություններ: ՌՇ օբյեկտ կարող են հանդիսանալ առանձին պետություններ, քաղաքներ, զորքերի խոշոր խմբավորումներ, տնտեսական շրջաններ, կղզիներ ևն: ՌՇ նպատակ կարող են լինել. պետության ռազմատնտեսական հզորության քայքայումը, հակառակորդի զինված ուժերի շրջափակված խմբավորման ուժերի և միջոցների հյուծումը, նրա հետագա ջախջախման համար նպաստավոր պայմանների ստեղծումը, հակառակորդին կապիտուլացվելու (հանձնվելու) հարկադրումը, ինչպես նաև մի այլ ուղղությամբ զորքերի (ուժերի) տեղափոխում թույլ չտալը: ՌՇ կարող է լինել լրիվ կամ մասնակի: Ռազմավարական մասշտաբների շրջափակմանը սովորաբար նախորդում է (կամ իրականացվում է միաժամանակ) տնտեսական շրջափակումը:
ՌԱԶՄԱԿԱՆ ՊԱՏՄՈՒԹՅՈՒՆ	 1. ռազմական գործի զարգացման ընթացքը հին ժամանակներից ցայսօր, 2. գիտություն, որն ուսումնասիրում է անցյալի պատերազմները և զինված ուժերը, ռազմարվեստի և ռազմական մտքի զարգացումը, ընդհանրացնում է անցած պատերազմների վարման և նախապատրաստման փորձը: Այս տեսակետից ՌՊ ռազմական գիտության, ինչպես նաև պատմական գիտության մի մասն է: ՌՊ կարևորագույն բնագավառներն են պատերազմների պատմությունը, զինված ուժերի շինարարության պատմությունը, ռազմարվեստի պատմությունը, ռազմական մտքի պատմությունը:
ՌԱԶՄԱՀԱՅՐԵՆԱՍԻՐԱԿԱՆ ԴԱՍՏԻԱՐԱԿՈՒԹՅՈՒՆ	 երկրի քաղաքացիների մեջ Հայրենիքի հանդեպ սիրո, նրա զինված պաշտպանության պատրաստականության նպատակաուղղված ձևավորում: Իրականացվում է պետության սահմանադրության, «Պաշտպանության մասին» օրենքի և երկրի պաշտպանության հարցերը կանոնակարգող այլ օրենսդրական ակտերի համաձայն: ՌԴ հիմնական խնդիրներն են քաղաքացիների հայրենասիրական ինքնագիտակցության ձևավորումը, բանակի մարտական և հերոսական ավանդույթների հանդեպ վստահության դաստիարակությունը: Այն իրականացվում է ընտանիքի, դպրոցի, աշխատանքային կոլեկտիվի, պետական իշխանության մարմինների, հասարակական կազմակերպությունների, զանգվածային լրատվամիջոցների, ստեղծագործական միությունների համատեղ ջանքերով: Երիտասարդության ռազմահայրենասիրական դաստիարակության, նրանց առաջիկա զինվորական ծառայությանը նախապատրաստելու գործին զգալի աջակցություն են ցուցաբերում զորամասերի հրամանատարությունը և ամբողջ անձնակազմը:
ՌԱԶՄԱՎԱՐ (ԱՎԱՐ)	 հակառակորդից զավթած, նրա կողմից մարտադաշտում լքված կամ հանձնվելու (կապիտուլացման) դեպքում հանձնած, զենք, ռազմական հանդերձանք, տրանսպորտի միջոցներ (ձիեր, մեքենաներ ևն), ռազմական տեխնիկա և այլ նյութական արժեքներ: Ողջ Ռ-ը համարվում է հաղթող կողմի սեփականությունը և օգտագործվում է ինչպես ռազմական, այնպես էլ այլ նպատակներով (որպես պարգև նվիրել մարտում աչքի ընկած հրամանատարներին և մարտիկներին):
ՌԱԶՄԱՎԱՐԱԿԱՆ ԽՆԴԻՐ (ԱՌԱՋԱԴՐԱՆՔ)	 պատերազմի ժամանակ որոշվող խոշոր առաջադրանք, որի կատարումը կարող է վճռել պատերազմի ելքը կամ կտրուկ փոփոխություններ մտցնել ռազմական գործողությունների թատերաբեմում: 
ՌԱԶՄԱՎԱՐԱԿԱՆ ՆԱԽԱԴԱՇՏ	 պաշտպանության գլխավոր շերտի (երկրի կենտրոնական կամ տնտեսական ու քաղաքական առումով առավել կարևոր նահանգների), ամրացված շրջանի և սահմանային ամրությունների առջևում հակառակորդին ընդհարման մեջ ներքաշելու համար նախապատրաստված տարածք՝ նրա առաջխաղացումը դանդաղեցնելու, ուժերը վաղօրոք հյուծելու և պաշտպանական գլխավոր շերտում (ռազմավարական առումով կարևոր շրջանում) վճռական ընդհարման համար բարենպաստ պայմաններ ստեղծելու նպատակով:
ՌԱԶՄԱՎԱՐՈՒԹՅՈՒՆ	 ռազմարվեստի բարձրագույն ոլորտն է, որն ընդգրկում է երկրի և նրա զինված ուժերի` պատերազմին նախապատրաստվելու տեսական և գործնական սկզբունքները, պատերազմի և ռազմավարական օպերացիաների կազմակերպումն ու վարումը:
ՌԱԶՄԵՐԹ	 շարժունակ հեծյալ զորախմբերի թափանցումը հակառակորդի թիկունք նրա կարևոր օբյեկտները (կամուրջներ, անցումներ ևն) ոչնչացնելու, մատակարարումը խափանելու, հակառակորդի ուժերը շեղելու նպատակով: Տե՛ս նաև` ԵՐԹ:
ՌԵԱԿՏԻՎ ԱՐԿ	 հրետանային ռազմամթերք, որի շարժումը հիմնված է նրա մեջ տեղավորված վառելիքի այրման գազերի ռեակտիվ գործողության վրա: Բաղկացած է գլխամասից և պոչամասից: Գլխամասը կարող է լինել բեկորաֆուգասային, կումուլյատիվ կամ այլ տիպի լիցքով: Պոչամասն ունի անծուխ վառոդով լցված խցիկ, փողրակ և կայունարար, որով ապահովվում է ռեակտիվ արկի ճշգրիտ թռիչքը:
ՌՄԲԱԿՈԾԵԼ	 օդային հարձակման միջոցներով ռումբեր նետել, ռումբերով հարվածել: 
ՍԱԴՐԱՆՔ (ՌԱԶՄԱԿԱՆ)	 պետության կամ քաղաքականության այլ սուբյեկտի կողմից սահմանափակ քանակությամբ զինված ուժերի կանխամտածված կիրառումը ռազմաքաղաքական իրադրությունը սրելու, հակառակորդի զինված ուժերի մարտունակությունը ստուգելու, այլ պետության ներքին գործերին իր միջամտությունն արդարացնելու, պատերազմ սկսելու համար ռազմական միջադեպ ստեղծելու և այլ նպատակների համար:
ՍԱԿՐ	 կացնատիպ կտրող սառը զենք: Ունի փայտե կարճ կոթ և կիսալուսնի ձևի 0,2-0,3 մ երկարությամբ սայր:
ՍԱՂԱՎԱՐՏ	 1. մետաղյա գլխաման սառը զենքի հարվածներից պաշտպանվելու համար, 2. հատուկ ձևի մետաղյա գլխարկ, որը պատում է զինվորի գլուխն ու ծոծրակը:
ՍՊԱՌԱԶԻՆՈՒԹՅՈՒՆ	 պատերազմ վարելու միջոցների կամ որոշակի նշանակության տարրերի (պաշտպանական Ս. ևն) ամբողջություն:
ՍԱՌԸ ԶԵՆՔ	 ձեռնամարտի զենք: Պայմանականորեն դասակարգվում է. Ըստ կառուցվածքի՝ շեղբավոր (դաշույն, թուր, սուր, սուսեր, դանակ, սվին ևն), կոթավոր (ալեբարդ, սակր, գեղարդ, նիզակ, տեգ ևն) և հարվածային (գուրզ, մարտական կացին ևն): Ըստ խոցման՝ ծակող, հատող, ծակող-հատող, ծակող-կտրող, հարվածող-հատող և հարվածող-փշրող: ՍԶ հայտնի է հնուց, և մինչև այժմ էլ որոշ նմուշներ օգտագործվում են զորքերում (դաշույն, դանակ, սվին, սուսեր):
ՍՊԱՐԱՊԵՏ	 սպահապետ, սպայապետ, ասպահապետ, ասպարապետ, սպարապետության գործակալի՝ զինված ուժերի գլխավոր հրամանատարի անվանումը հին և միջնադարյան Հայաստանում: Անմիջապես ենթարկվել է թագավորին և գործել է նրա հրամանով: Ղեկավարել է ինչպես արքունի զորաբանակը, այնպես էլ իշխանական (նախարարական) զորամասերը:
ՍՊԱՐԱՊԵՏՈՒԹՅՈՒՆ	 զինված ուժերը կառավարող արքունի գործակալություն հին և միջնադարյան Հայաստանում: Գործակալը՝ գլխավոր հրամանատարը, կոչվել է սպարապետ: IV-V դդ. Ս. ժառանգաբար վարել են Մամիկոնյանները: IX-XI դդ. Ս. վարել են Բագրատունիների, ապա Պահլավունիների ներկայացուցիչները: Կիլիկյան Հայաստանում Ս. հիմնականում վարել են Ռուբինյանների և Հեթումյանների ներկայացուցիչները, սակայն այն չի եղել այդ տների մենաշնորհը:
ՍՎԻՆ	 (պատմ.) նիզակի ծայրին ագուցվող սլաքաձև խոցող ծայրակալ: 
ՍՎԻՆԱՄԱՐՏ	 հրացաններին ամրացված սվիններով միմյանց հարվածելով մարտ: 
ՍՏՈՐԱԲԱԺԱՆՈՒՄ	 որպես կանոն, մշտական և միատարր կազմ ունեցող զինվորական կազմավորում: Մտնում է ավելի խոշոր Ս. կամ զորամասի կազմի մեջ:
ՍՈՒԼԹԱՆ	 գերագույն կառավարչի տիտղոս մահմեդական երկրներում: X-XIIIդդ. Ս. տիտղոսը սովորաբար կրում էին կայսերական իշխանություն ունեցող կամ տրոհված սուլթանության տիտղոսակիր տոհմի կրտսեր ներկայացուցիչների կողմից ստեղծված պետությունների տիրակալները: 
ՍՈՒՐ	 երկար, դանակի նման երկսայր սառը հատող և խոցող զենք: Ձեռնամարտում գործադրվող հատող և ծակող սառը զենք: Բաղկացած է միսայրի կամ երկսայրի, սուր կամ բութ ծայրով պողպատյա շեղբից և երախակալից (դաստապան): Երբեմն շեղբը երախակալից բաժանվում է խաչաձև կռվանով: Սուրը կրել են կողքից կախվող պատյանի մեջ: Սրի նորքարեդարյան նախատիպերը եղել են ոսկրե կոթերին ամրացված վանակատե շեղբերը: Ք.ա. II հազարամյակում տարածված են եղել բրոնզե սրերը: Մետաղյա հնագույն սրերը բաժանվում են հատողների և ծակողների, ավելի ուշ՝ ծակող-հատողների: Ք.ա. I հազարամյակում երևան են եկել երկաթյա (հաճախ բրոնզե երախակալով) երկար սրերը: Սկյութները գործածել են կարճ սրեր: Ք.ա. I հազարամյակի 2-րդ կեսից հետևակը և ծանրազեն հեծելազորը գործածել են երկար (հռոմեական հետևակը գործածել է կարճ և լայն) հատող սրեր: Հայկական լեռնաշխարհում բրոնզե տարատեսակ սրեր հայտնաբերվել են մ.թ.ա. II հազարամյակի հնավայրերից: Միջին դարերում պողպատյա սուրը եղել է Հայոց զորքերի հիմնական զինատեսակներից: Հայ պատմիչները սուրը հաճախ անվանել են «երկսայրանի», «պողովատ», «պողովատիկ»:
